date,total_cases,new_cases,total_deaths,new_deaths
2020-01-30,1,1,0,0
2020-01-31,1,0,0,0
2020-02-01,1,0,0,0
2020-02-02,2,1,0,0
2020-02-03,2,0,0,0
2020-02-04,3,1,0,0
2020-02-05,3,0,0,0
2020-02-06,3,0,0,0
2020-02-07,3,0,0,0
2020-02-08,3,0,0,0
2020-02-09,3,0,0,0
2020-02-10,3,0,0,0
2020-02-11,3,0,0,0
2020-02-12,3,0,0,0
2020-02-13,3,0,0,0
2020-02-14,3,0,0,0
2020-02-15,3,0,0,0
2020-02-16,3,0,0,0
2020-02-17,3,0,0,0
2020-02-18,3,0,0,0
2020-02-19,3,0,0,0
2020-02-20,3,0,0,0
2020-02-21,3,0,0,0
2020-02-22,3,0,0,0
2020-02-23,3,0,0,0
2020-02-24,3,0,0,0
2020-02-25,3,0,0,0
2020-02-26,3,0,0,0
2020-02-27,3,0,0,0
2020-02-28,3,0,0,0
2020-02-29,3,0,0,0
2020-03-01,3,0,0,0
2020-03-02,3,0,0,0
2020-03-03,5,2,0,0
2020-03-04,6,1,0,0
2020-03-05,28,22,0,0
2020-03-06,29,1,0,0
2020-03-07,31,2,0,0
2020-03-08,34,3,0,0
2020-03-09,40,6,0,0
2020-03-10,44,10,0,0
2020-03-11,50,6,0,0
2020-03-12,73,23,0,0
2020-03-13,75,2,1,1
2020-03-14,83,8,2,1
2020-03-15,90,7,2,0
2020-03-16,93,3,2,0
2020-03-17,125,32,3,1
2020-03-18,137,12,3,0
2020-03-19,165,28,3,0
2020-03-20,191,26,4,1
2020-03-21,231,40,4,0
2020-03-22,320,89,4,0
2020-03-23,439,119,7,3
2020-03-24,492,53,9,2
2020-03-25,562,70,9,0
2020-03-26,649,87,13,4
2020-03-27,724,75,17,4
2020-03-28,873,149,19,2
2020-03-29,979,106,25,6
2020-03-30,1071,92,29,4
2020-03-31,1251,180,32,3
2020-04-01,1397,146,35,3
2020-04-02,1965,568,50,15
2020-04-03,2301,336,56,6
2020-04-04,2902,601,68,12
2020-04-05,3374,472,77,9
2020-04-06,4067,693,109,32
2020-04-07,4421,354,114,5
2020-04-08,5194,773,149,35
2020-04-09,5734,540,166,17
2020-04-10,6412,678,199,33
2020-04-11,7447,1035,239,40
2020-04-12,8356,909,273,34
2020-04-13,9152,796,308,35
2020-04-14,10363,1211,339,31
2020-04-15,11438,1075,377,38
2020-04-16,12380,942,414,37
2020-04-17,13387,1007,437,23
2020-04-18,14378,991,480,43
2020-04-19,15712,1334,507,27
2020-04-20,17265,1553,543,36
2020-04-21,18600,1335,590,47
2020-04-22,19984,1384,640,50
2020-04-23,21393,1409,681,41
2020-04-24,23077,1684,718,37
2020-04-25,24506,1429,775,57
2020-04-26,26496,1990,824,49
2020-04-27,27892,1396,872,48
2020-04-28,29435,1543,934,62
2020-04-29,31332,1897,1007,73
2020-04-30,33050,1718,1074,67
2020-05-01,35043,1993,1147,73
2020-05-02,37336,2293,1218,71
2020-05-03,39980,2644,1301,83
2020-05-04,42533,2553,1373,72
2020-05-05,46433,3900,1568,195
2020-05-06,49391,2958,1694,126
2020-05-07,52952,3561,1783,89
2020-05-08,56342,3390,1886,103
2020-05-09,59662,3320,1981,95
2020-05-10,62939,3277,2109,128
2020-05-11,67152,4213,2206,97
2020-05-12,70756,3604,2293,87
2020-05-13,74281,3525,2415,122
2020-05-14,78003,3722,2549,134
2020-05-15,81970,3967,2649,100
2020-05-16,85940,3970,2752,103
2020-05-17,90927,4987,2872,120
2020-05-18,96169,5242,3029,157
2020-05-19,101139,4970,3163,134
2020-05-20,106750,5611,3303,140
2020-05-21,112359,5609,3435,132
2020-05-22,118447,6088,3583,148
2020-05-23,125101,6654,3720,137
2020-05-24,131868,6767,3867,147
2020-05-25,138845,6977,4021,154
2020-05-26,145380,6535,4167,146
2020-05-27,151767,6387,4337,170
2020-05-28,158333,6566,4531,194
2020-05-29,165799,7466,4706,175
2020-05-30,173763,7964,4971,265
2020-05-31,182143,8380,5164,193
2020-06-01,190535,8392,5394,230
2020-06-02,198706,8171,5598,204
2020-06-03,207615,8909,5815,217
2020-06-04,216919,9304,6075,260
2020-06-05,226770,9851,6348,273
2020-06-06,236657,9887,6642,294
2020-06-07,246628,9971,6929,287
2020-06-08,256611,9983,7135,206
2020-06-09,266598,9987,7466,331
2020-06-10,276583,9985,7745,279
2020-06-11,286579,9996,8102,357
2020-06-12,297535,10956,8498,396
2020-06-13,308993,11458,8884,386
2020-06-14,320922,11929,9195,311
2020-06-15,332424,11502,9520,325
2020-06-16,343091,10667,9900,380
2020-06-17,354065,10974,11903,2003
2020-06-18,366946,12881,12237,334
2020-06-19,380532,13586,12573,336
2020-06-20,395048,14516,12948,375
2020-06-21,410461,15413,13254,306
2020-06-22,425282,14821,13699,445
2020-06-23,440215,14933,14011,312
2020-06-24,456183,15968,14476,465
2020-06-25,473105,16922,14894,418
2020-06-26,490401,17296,15301,407
2020-06-27,508953,18552,15685,384
2020-06-28,528859,19906,16095,410
2020-06-29,548318,19459,16475,380
2020-06-30,566840,18522,16893,418
2020-07-01,585493,18653,17400,507
2020-07-02,604641,19148,17834,434
2020-07-03,625544,20903,18213,379
2020-07-04,648315,22771,18655,442
2020-07-05,673165,24850,19268,613
2020-07-06,697413,24248,19693,425
2020-07-07,719665,22252,20160,467
2020-07-08,742417,22752,20642,482
2020-07-09,767296,24879,21129,487
2020-07-10,793802,26506,21604,475
2020-07-11,820916,27114,22123,519
2020-07-12,849553,28637,22674,551
2020-07-13,878254,28701,23174,500
2020-07-14,906752,28498,23727,553
2020-07-15,936181,29429,24309,582
2020-07-16,968876,32695,24915,606
2020-07-17,1003832,34956,25602,687
2020-07-18,1038716,34884,26273,671
2020-07-19,1077618,38902,26816,543
2020-07-20,1118043,40425,27497,681
2020-07-21,1155191,37148,28084,587
2020-07-22,1192915,37724,28732,648
2020-07-23,1238635,45720,29861,1129
2020-07-24,1287945,49310,30601,740
2020-07-25,1336861,48916,31358,757
2020-07-26,1385522,48661,32063,705
2020-07-27,1435453,49931,32771,708
2020-07-28,1483156,47703,33425,654
2020-07-29,1531669,48513,34193,768
2020-07-30,1583792,52123,34968,775
2020-07-31,1638870,55078,35747,779
2020-08-01,1695988,57118,36511,764
2020-08-02,1750723,54735,37364,853
2020-08-03,1803695,52972,38135,771
2020-08-04,1855745,52050,38938,803
2020-08-05,1908254,52509,39795,857
2020-08-06,1964536,56282,40699,904
2020-08-07,2027074,62538,41585,886
2020-08-08,2088611,61537,42518,933
2020-08-09,2153010,64399,43379,861
2020-08-10,2215074,62064,44386,1007
2020-08-11,2268675,53601,45257,871
2020-08-12,2329638,60963,46091,834
2020-08-13,2396637,66999,47033,942
2020-08-14,2461190,64553,48040,1007
2020-08-15,2526192,65002,49036,996
2020-08-16,2589682,63490,49980,944
2020-08-17,2647663,57981,50921,941
2020-08-18,2702742,55079,51797,876
2020-08-19,2767273,64531,52889,1092
2020-08-20,2836925,69652,53866,977
2020-08-21,2905823,68898,54849,983
2020-08-22,2975701,69878,55794,945
2020-08-23,3044940,69239,56706,912
2020-08-24,3106348,61408,57542,836
2020-08-25,3167323,60975,58390,848
2020-08-26,3234474,67151,59449,1059
2020-08-27,3310234,75760,60472,1023
2020-08-28,3387500,77266,61529,1057
2020-08-29,3463972,76472,62550,1021
2020-08-30,3542733,78761,63498,948
2020-08-31,3621245,78512,64469,971
2020-09-01,3691166,69921,65228,759
2020-09-02,3769523,78357,66333,1105
2020-09-03,3853406,83883,67376,1043
2020-09-04,3936747,83341,68472,1096
2020-09-05,4023179,86432,69561,1089
2020-09-06,4113811,90632,70626,1065
2020-09-07,4204613,90802,71642,1016
2020-09-08,4280422,75809,72775,1133
2020-09-09,4370128,89706,73890,1115
2020-09-10,4465863,95735,75062,1172
2020-09-11,4562414,96551,76271,1209
2020-09-12,4659984,97570,77472,1201
2020-09-13,4754356,94372,78586,1114
2020-09-14,4846427,92071,79722,1136
2020-09-15,4930236,83809,80776,1054
2020-09-16,5020359,90123,82066,1290
2020-09-17,5118253,97894,83198,1132
2020-09-18,5214677,96424,84372,1174
2020-09-19,5308014,93337,85619,1247
2020-09-20,5400619,92605,86752,1133
2020-09-21,5487580,86961,87882,1130
2020-09-22,5562663,75083,88935,1053
2020-09-23,5646010,83347,90020,1085
2020-09-24,5732518,86508,91149,1129
2020-09-25,5818570,86052,92290,1141
2020-09-26,5903932,85362,93379,1089
